sequence_ID	sample_ID	sequencing_run	date	passage_history	type	subtype
JH24201	JH24201	IV24Run3	2024-01-21	vtm	InfluenzaA	H1N1
JH23639	JH23639	IV23Run7	2023-11-29	vtm	InfluenzaA	H1N1
JH24134	JH24134	IV24Run2	2024-01-19	vtm	InfluenzaA	H1N1
JH251002	JH251002	IV25Run13	2025-03-24	vtm	InfluenzaA	H1N1
JH25788	JH25788	IV25Run11b	2025-03-07	vtm	InfluenzaA	H1N1
JH23615	JH23615	IV23Run6	2023-11-13	vtm	InfluenzaA	H1N1
JH24791	JH24791	IV24Run9	2024-03-30	vtm	InfluenzaA	H1N1
JH24535	JH24535	IV24Run6	2024-02-16	vtm	InfluenzaA	H1N1
JH241180	JH241180	IV24Run14	2024-07-26	vtm	InfluenzaA	H1N1
JH25865	JH25865	IV25Run12	2025-03-14	vtm	InfluenzaA	H1N1
JH23671	JH23671	IV23Run8	2023-12-01	vtm	InfluenzaA	H1N1
JH2470	JH2470	IV24Run1	2024-01-19	vtm	InfluenzaA	H1N1
JH24244	JH24244	IV24Run3	2024-01-21	vtm	InfluenzaA	H1xx
JH26314	JH26314	IV26Run4	2026-03-02	vtm	InfluenzaA	H1xx
JH25986	JH25986	IV25Run13	2025-03-24	vtm	InfluenzaA	xxN1
JH25330	JH25330	IV25Run5	2025-02-01	vtm	InfluenzaA	xxN1
JH2646	JH2646	IV26Run1	2026-01-21	vtm	InfluenzaA	xxxx
JH25314	JH25314	IV25Run5	2025-02-01	vtm	InfluenzaA	xxxx
JH241152	JH241152	IV24Run14	2024-07-26	vtm	InfluenzaA	xxxx
JH25944	JH25944	IV25Run12	2025-03-14	vtm	InfluenzaA	xxxx
JH26405	JH26405	IV26Run5	2026-04-05	vtm	InfluenzaA	H3N2
JH26574	JH26574	IV26Run7	2026-06-08	vtm	InfluenzaA	H3N2
JH24461	JH24461	IV24Run5	2024-02-12	vtm	InfluenzaA	H3N2
JH26404	JH26404	IV26Run5	2026-04-05	vtm	InfluenzaA	H3N2
JH24955	JH24955	IV24Run11	2024-04-17	vtm	InfluenzaA	H3N2
JH2657	JH2657	IV26Run1	2026-01-21	vtm	InfluenzaA	H3N2
JH24861	JH24861	IV24Run10	2024-03-30	vtm	InfluenzaA	H3N2
JH25259	JH25259	IV25Run5	2025-02-01	vtm	InfluenzaA	H3N2
JH25415	JH25415	IV25Run6	2025-02-10	vtm	InfluenzaA	H3N2
JH2662	JH2662	IV26Run1	2026-01-21	vtm	InfluenzaA	H3N2
JH25870	JH25870	IV25Run12	2025-03-14	vtm	InfluenzaA	H3N2
JH2684	JH2684	IV26Run1	2026-01-21	vtm	InfluenzaA	H3N2
JH25799	JH25799	IV25Run11b	2025-03-07	vtm	InfluenzaA	H3xx
JH251382	JH251382	IV25Run17	2025-11-15	vtm	InfluenzaA	H3xx
JH251543	JH251543	IV25Run19	2025-12-10	vtm	InfluenzaA	xxN2
JH25108	JH25108	IV25Run3	2025-01-14	vtm	InfluenzaA	xxN2
JH2443	JH2443	IV24Run1	2024-01-19	vtm	InfluenzaA	xxxx
JH251462	JH251462	IV25Run18	2025-12-05	vtm	InfluenzaA	xxxx
JH251486	JH251486	IV25Run18	2025-12-05	vtm	InfluenzaA	xxxx
JH26292	JH26292	IV26Run4	2026-03-02	vtm	InfluenzaA	xxxx
JH26543	JH26543	IV26Run6	2026-04-14	vtm	InfluenzaB	Victoria
JH26356	JH26356	IV26Run4	2026-03-02	vtm	InfluenzaB	Victoria
JH24273	JH24273	IV24Run3	2024-01-21	vtm	InfluenzaB	Victoria
JH251393	JH251393	IV25Run17	2025-11-15	vtm	InfluenzaB	Victoria
JH26486	JH26486	IV26Run6	2026-04-14	vtm	InfluenzaB	Victoria
JH26368	JH26368	IV26Run4	2026-03-02	vtm	InfluenzaB	Victoria
JH251134	JH251134	IV25Run14	2025-04-17	vtm	InfluenzaB	Victoria
JH26441	JH26441	IV26Run5	2026-04-05	vtm	InfluenzaB	Victoria
JH251097	JH251097	IV25Run14	2025-04-17	vtm	InfluenzaB	Victoria
JH251140	JH251140	IV25Run14	2025-04-17	vtm	InfluenzaB	Victoria
JH26450	JH26450	IV26Run5	2026-04-05	vtm	InfluenzaB	Victoria
JH251249	JH251249	IV25Run16	2025-05-09	vtm	InfluenzaB	Victoria
JH251199	JH251199	IV25Run15	2025-04-22	vtm	InfluenzaB	Victoria
JH24835	JH24835	IV24Run9	2024-03-30	vtm	InfluenzaB	Victoria
JH26611	JH26611	IV26Run7	2026-06-08	vtm	InfluenzaB	Victoria
JH26623	JH26623	IV26Run7	2026-06-08	vtm	InfluenzaB	Victoria
JH26448	JH26448	IV26Run5	2026-04-05	vtm	InfluenzaB	Victoria
JH241219	JH241219	IV24Run14	2024-07-26	vtm	InfluenzaB	Victoria
JH251230	JH251230	IV25Run15	2025-04-22	vtm	InfluenzaB	Victoria
JH25434	JH25434	IV25Run6	2025-02-10	vtm	InfluenzaB	Victoria
